,country,region,score_2015,score_2016,score_2017,score_2018,score_2019
1,Argentina,Latin America and Caribbean,6.574,6.65,6.599,6.388,NA
2,Australia,Australia and New Zealand,7.284,7.313,7.284,7.272,7.228
3,Austria,Western Europe,7.2,7.119,7.006,7.139,7.246
4,Belgium,Western Europe,6.937,6.929,6.891,6.927,6.923
5,Brazil,Latin America and Caribbean,6.983,6.952,6.635,6.419,NA
6,Canada,North America,7.427,7.404,7.316,7.328,7.278
7,Chile,Latin America and Caribbean,6.67,6.705,6.652,6.476,6.444
8,Costa Rica,Latin America and Caribbean,7.226,7.087,7.079,7.072,7.167
9,Czech Republic,NA,NA,6.596,6.609,6.711,6.852
10,Denmark,Western Europe,7.527,7.526,7.522,7.555,7.6
11,Finland,Western Europe,7.406,7.413,7.469,7.632,7.769
12,France,Western Europe,6.575,NA,NA,6.489,6.592
13,Germany,Western Europe,6.75,6.994,6.951,6.965,6.985
14,Guatemala,NA,NA,NA,6.454,6.382,6.436
15,Iceland,Western Europe,7.561,7.501,7.504,7.495,7.494
16,Ireland,Western Europe,6.94,6.907,6.977,6.977,7.021
17,Israel,Middle East and Northern Africa,7.278,7.267,7.213,6.814,7.139
18,Luxembourg,Western Europe,6.946,6.871,6.863,6.91,7.09
19,Malta,NA,NA,6.488,6.527,6.627,6.726
20,Mexico,Latin America and Caribbean,7.187,6.778,6.578,6.488,6.595
21,Netherlands,Western Europe,7.378,7.339,7.377,7.441,7.488
22,New Zealand,Australia and New Zealand,7.286,7.334,7.314,7.324,7.307
23,Norway,Western Europe,7.522,7.498,7.537,7.594,7.554
24,Oman,Middle East and Northern Africa,6.853,NA,NA,NA,NA
25,Panama,Latin America and Caribbean,6.786,6.701,6.452,6.43,NA
26,Puerto Rico,NA,NA,7.039,NA,NA,NA
27,Qatar,Middle East and Northern Africa,6.611,NA,NA,NA,6.374
28,Saudi Arabia,NA,NA,NA,NA,NA,6.375
29,Singapore,Southeastern Asia,6.798,6.739,6.572,NA,NA
30,Spain,NA,NA,NA,NA,NA,6.354
31,Sweden,Western Europe,7.364,7.291,7.284,7.314,7.343
32,Switzerland,Western Europe,7.587,7.509,7.494,7.487,7.48
33,Taiwan,NA,NA,NA,NA,6.441,6.446
34,United Arab Emirates,Middle East and Northern Africa,6.901,6.573,6.648,6.774,6.825
35,United Kingdom,Western Europe,6.867,6.725,6.714,7.19,7.054
36,United States,North America,7.119,7.104,6.993,6.886,6.892
37,Uruguay,NA,NA,6.545,6.454,NA,NA
38,Venezuela,Latin America and Caribbean,6.81,NA,NA,NA,NA
